targetMolecule,queryUsed,noticeId,tenderRef,title,buyer,publicationDate,lifecycleStage,noticeUrl,documentUrls,procedureKey,evidenceLevel,exactMatchedText,evidenceLocation,hasDirectMoleculeName,hasDirectAtc,hasDocumentLinks,likelyLanguageDuplicate,likelyLifecycleRelated,canonicalProcedureCandidate,requiresDocumentConfirmation,originalDecision,auditedDecision,auditReason,possibleDuplicateOf
Everolimus,name:everolimus,404973-2025,LIS,Norway – Pharmaceutical products – 2632a Everolimus and Mykofenolic Acid (enterotablett),SYKEHUSINNKJØP HF,2025-06-24,competition,https://ted.europa.eu/en/notice/-/detail/404973-2025,,LIS,document_name,Everolimus,document_xml,True,True,False,False,True,True,False,accepted,accepted,Retained: document_name,
Everolimus,atc:L04AH02,404973-2025,LIS,Norway – Pharmaceutical products – 2632a Everolimus and Mykofenolic Acid (enterotablett),SYKEHUSINNKJØP HF,2025-06-24,competition,https://ted.europa.eu/en/notice/-/detail/404973-2025,,LIS,document_name,Everolimus,document_xml,True,True,False,False,True,True,False,accepted,accepted,Retained: document_name,
Everolimus,buyer+name:Sykehusinnkjøp HF,404973-2025,LIS,Norway – Pharmaceutical products – 2632a Everolimus and Mykofenolic Acid (enterotablett),SYKEHUSINNKJØP HF,2025-06-24,competition,https://ted.europa.eu/en/notice/-/detail/404973-2025,,LIS,document_name,Everolimus,document_xml,True,True,False,False,True,True,False,accepted,accepted,Retained: document_name,
Everolimus,buyer+name:Sykehusinnkjøp,404973-2025,LIS,Norway – Pharmaceutical products – 2632a Everolimus and Mykofenolic Acid (enterotablett),SYKEHUSINNKJØP HF,2025-06-24,competition,https://ted.europa.eu/en/notice/-/detail/404973-2025,,LIS,document_name,Everolimus,document_xml,True,True,False,False,True,True,False,accepted,accepted,Retained: document_name,
Lenalidomide,name:lenalidomide,335380-2021,2021/118,LIS 2234 Lenalidomide,Sykehusinnkjøp HF,2021-07-02,award,https://ted.europa.eu/en/notice/-/detail/335380-2021,,LIS2234,document_name,Lenalidomide,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,name:lenalidomide,147880-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-03-24,prior_information,https://ted.europa.eu/en/notice/-/detail/147880-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,name:lenalidomide,48506-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-01-29,prior_information,https://ted.europa.eu/en/notice/-/detail/48506-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,name:lenalidomid,335380-2021,2021/118,LIS 2234 Lenalidomide,Sykehusinnkjøp HF,2021-07-02,award,https://ted.europa.eu/en/notice/-/detail/335380-2021,,LIS2234,document_name,Lenalidomide,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,name:lenalidomid,147880-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-03-24,prior_information,https://ted.europa.eu/en/notice/-/detail/147880-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,name:lenalidomid,48506-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-01-29,prior_information,https://ted.europa.eu/en/notice/-/detail/48506-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+name:Sykehusinnkjøp HF,335380-2021,2021/118,LIS 2234 Lenalidomide,Sykehusinnkjøp HF,2021-07-02,award,https://ted.europa.eu/en/notice/-/detail/335380-2021,,LIS2234,document_name,Lenalidomide,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+name:Sykehusinnkjøp HF,147880-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-03-24,prior_information,https://ted.europa.eu/en/notice/-/detail/147880-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+name:Sykehusinnkjøp HF,48506-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-01-29,prior_information,https://ted.europa.eu/en/notice/-/detail/48506-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+name:Sykehusinnkjøp,335380-2021,2021/118,LIS 2234 Lenalidomide,Sykehusinnkjøp HF,2021-07-02,award,https://ted.europa.eu/en/notice/-/detail/335380-2021,,LIS2234,document_name,Lenalidomide,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+name:Sykehusinnkjøp,147880-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-03-24,prior_information,https://ted.europa.eu/en/notice/-/detail/147880-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+name:Sykehusinnkjøp,48506-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-01-29,prior_information,https://ted.europa.eu/en/notice/-/detail/48506-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Anagrelide,name:anagrelide,244859-2024,LIS,Norway – Pharmaceutical products – 2507gj-1 anagrelid,SYKEHUSINNKJØP HF,2024-04-24,competition,https://ted.europa.eu/en/notice/-/detail/244859-2024,,LIS,document_name,anagrelid,document_xml,True,False,False,False,True,True,False,accepted,accepted,Retained: document_name,404973-2025
Anagrelide,name:anagrelid,244859-2024,LIS,Norway – Pharmaceutical products – 2507gj-1 anagrelid,SYKEHUSINNKJØP HF,2024-04-24,competition,https://ted.europa.eu/en/notice/-/detail/244859-2024,,LIS,document_name,anagrelid,document_xml,True,False,False,False,True,True,False,accepted,accepted,Retained: document_name,404973-2025
Anagrelide,buyer+name:Sykehusinnkjøp HF,244859-2024,LIS,Norway – Pharmaceutical products – 2507gj-1 anagrelid,SYKEHUSINNKJØP HF,2024-04-24,competition,https://ted.europa.eu/en/notice/-/detail/244859-2024,,LIS,document_name,anagrelid,document_xml,True,False,False,False,True,True,False,accepted,accepted,Retained: document_name,404973-2025
Anagrelide,buyer+name:Sykehusinnkjøp,244859-2024,LIS,Norway – Pharmaceutical products – 2507gj-1 anagrelid,SYKEHUSINNKJØP HF,2024-04-24,competition,https://ted.europa.eu/en/notice/-/detail/244859-2024,,LIS,document_name,anagrelid,document_xml,True,False,False,False,True,True,False,accepted,accepted,Retained: document_name,404973-2025
Paliperidone,name:paliperidone,434619-2026,LIS,"Norway – Medical equipments, pharmaceuticals and personal care products – 2601c paliperidone",SYKEHUSINNKJØP HF,2026-06-25,competition,https://ted.europa.eu/en/notice/-/detail/434619-2026,,LIS,document_name,paliperidone,document_xml,True,False,False,False,True,True,False,accepted,accepted,Retained: document_name,404973-2025
Paliperidone,name:paliperidone,682047-2022,LIS,"Voluntary ex-ante transparency notice - Supplementary contracts for LIS 2301d ureg, ATC codes J05AF01, N05AX13, N05CD08, P01CX04, S01AX18, S01EE09 and V03AB13",SYKEHUSINNKJØP HF,2022-12-08,V,https://ted.europa.eu/en/notice/-/detail/682047-2022,,LIS2301D,document_name,Paliperidon,document_xml,True,True,False,False,True,True,False,accepted,accepted,Retained: document_name,404973-2025
Paliperidone,name:paliperidon,434619-2026,LIS,"Norway – Medical equipments, pharmaceuticals and personal care products – 2601c paliperidone",SYKEHUSINNKJØP HF,2026-06-25,competition,https://ted.europa.eu/en/notice/-/detail/434619-2026,,LIS,document_name,paliperidone,document_xml,True,False,False,False,True,True,False,accepted,accepted,Retained: document_name,404973-2025
Paliperidone,name:paliperidon,682047-2022,LIS,"Voluntary ex-ante transparency notice - Supplementary contracts for LIS 2301d ureg, ATC codes J05AF01, N05AX13, N05CD08, P01CX04, S01AX18, S01EE09 and V03AB13",SYKEHUSINNKJØP HF,2022-12-08,V,https://ted.europa.eu/en/notice/-/detail/682047-2022,,LIS2301D,document_name,Paliperidon,document_xml,True,True,False,False,True,True,False,accepted,accepted,Retained: document_name,404973-2025
Paliperidone,atc:N05AX13,682047-2022,LIS,"Voluntary ex-ante transparency notice - Supplementary contracts for LIS 2301d ureg, ATC codes J05AF01, N05AX13, N05CD08, P01CX04, S01AX18, S01EE09 and V03AB13",SYKEHUSINNKJØP HF,2022-12-08,V,https://ted.europa.eu/en/notice/-/detail/682047-2022,,LIS2301D,document_name,Paliperidon,document_xml,True,True,False,False,True,True,False,accepted,accepted,Retained: document_name,404973-2025
Paliperidone,atc:N05AX13,667535-2022,2021/108,Voluntary ex-ante transparency notice - Entry into a contract for the procurement of various antipsychotics for the national preparedness reserves,SYKEHUSINNKJØP HF,2022-12-01,V,https://ted.europa.eu/en/notice/-/detail/667535-2022,,2021/108,document_atc,N05AX13,document_xml,False,True,False,False,False,True,False,accepted,accepted,Retained: document_atc,
Paliperidone,buyer+name:Sykehusinnkjøp HF,434619-2026,LIS,"Norway – Medical equipments, pharmaceuticals and personal care products – 2601c paliperidone",SYKEHUSINNKJØP HF,2026-06-25,competition,https://ted.europa.eu/en/notice/-/detail/434619-2026,,LIS,document_name,paliperidone,document_xml,True,False,False,False,True,True,False,accepted,accepted,Retained: document_name,404973-2025
Paliperidone,buyer+name:Sykehusinnkjøp HF,682047-2022,LIS,"Voluntary ex-ante transparency notice - Supplementary contracts for LIS 2301d ureg, ATC codes J05AF01, N05AX13, N05CD08, P01CX04, S01AX18, S01EE09 and V03AB13",SYKEHUSINNKJØP HF,2022-12-08,V,https://ted.europa.eu/en/notice/-/detail/682047-2022,,LIS2301D,document_name,Paliperidon,document_xml,True,True,False,False,True,True,False,accepted,accepted,Retained: document_name,404973-2025
Paliperidone,buyer+name:Sykehusinnkjøp,434619-2026,LIS,"Norway – Medical equipments, pharmaceuticals and personal care products – 2601c paliperidone",SYKEHUSINNKJØP HF,2026-06-25,competition,https://ted.europa.eu/en/notice/-/detail/434619-2026,,LIS,document_name,paliperidone,document_xml,True,False,False,False,True,True,False,accepted,accepted,Retained: document_name,404973-2025
Paliperidone,buyer+name:Sykehusinnkjøp,682047-2022,LIS,"Voluntary ex-ante transparency notice - Supplementary contracts for LIS 2301d ureg, ATC codes J05AF01, N05AX13, N05CD08, P01CX04, S01AX18, S01EE09 and V03AB13",SYKEHUSINNKJØP HF,2022-12-08,V,https://ted.europa.eu/en/notice/-/detail/682047-2022,,LIS2301D,document_name,Paliperidon,document_xml,True,True,False,False,True,True,False,accepted,accepted,Retained: document_name,404973-2025
Lenalidomide,tender_ref:LIS 2234,335380-2021,2021/118,LIS 2234 Lenalidomide,Sykehusinnkjøp HF,2021-07-02,award,https://ted.europa.eu/en/notice/-/detail/335380-2021,,LIS2234,document_name,Lenalidomide,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
