queryUsed,noticeId,tenderRef,title,buyer,publicationDate,lifecycleStage,noticeUrl,documentUrl,matchedEvidence,evidenceLocation,proposedDecision,reason
area:onkologi,282482-2024,2023/1409,Norway – Pharmaceutical products – Additional contract for 2407 Oncology - Brukinsa (zanubrutinib),SYKEHUSINNKJØP HF,2024-05-14,voluntary_ex_ante,https://ted.europa.eu/en/notice/-/detail/282482-2024,https://ted.europa.eu/en/notice/-/detail/282482-2024,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:onkologi,196990-2022,2021/1727,LIS 2207 Oncology,SYKEHUSINNKJØP HF,2022-04-13,competition,https://ted.europa.eu/en/notice/-/detail/196990-2022,https://permalink.mercell.com/176511702.aspx;https://ted.europa.eu/en/notice/-/detail/196990-2022,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:onkologi,138752-2018,,Norway-Oslo: Medical specialist services,Norsk pasientskadeerstatning,2018-03-29,can-social,https://ted.europa.eu/en/notice/-/detail/138752-2018,https://ted.europa.eu/en/notice/-/detail/138752-2018,onkologi,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,163981-2026,2024/32718,Norway – Pharmaceutical products – 2707gj Oncology not patented,SYKEHUSINNKJØP HF,2026-03-10,competition,https://ted.europa.eu/en/notice/-/detail/163981-2026,https://ted.europa.eu/en/notice/-/detail/163981-2026,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,141877-2026,2023/18083,Norway – Tomography devices – PET/CT for St. Olavs Hospital - Qualification phase,SYKEHUSINNKJØP HF,2026-03-02,competition,https://ted.europa.eu/en/notice/-/detail/141877-2026,https://ted.europa.eu/en/notice/-/detail/141877-2026,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,74434-2026,2023/17957,Norway – Pharmaceutical products – 2607 Oncology - new notice,SYKEHUSINNKJØP HF,2026-02-02,competition,https://ted.europa.eu/en/notice/-/detail/74434-2026,https://ted.europa.eu/en/notice/-/detail/74434-2026,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,57610-2026,2023/17957,Norway – Pharmaceutical products – 2607 Oncology,SYKEHUSINNKJØP HF,2026-01-27,competition,https://ted.europa.eu/en/notice/-/detail/57610-2026,https://ted.europa.eu/en/notice/-/detail/57610-2026,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,18280-2026,2025/61818,Norway – Pharmaceutical products – 2607gj-1 Pazopanib,SYKEHUSINNKJØP HF,2026-01-12,competition,https://ted.europa.eu/en/notice/-/detail/18280-2026,https://ted.europa.eu/en/notice/-/detail/18280-2026,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,9214-2026,77449,"Norway – Laboratory, optical and precision equipments (excl. glasses) – 77449 OUS KLM Department for Pathology High Performance Ultrasonicator - Contract Notice",Oslo Universitetssykehus HF (hovedenhet),2026-01-08,award,https://ted.europa.eu/en/notice/-/detail/9214-2026,https://ted.europa.eu/en/notice/-/detail/9214-2026,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,822203-2025,77449,"Norway – Laboratory, optical and precision equipments (excl. glasses) – 77449 OUS KLM Department of Pathology Ultrasonicator high performance - Intention notice",Oslo Universitetssykehus HF (hovedenhet),2025-12-11,voluntary_ex_ante,https://ted.europa.eu/en/notice/-/detail/822203-2025,https://ted.europa.eu/en/notice/-/detail/822203-2025,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,730955-2025,2025/40392,"Norway – CT scanners – Contract award: SPECT/CT for Sørlandet Hospital HF, Kristiansand",SYKEHUSINNKJØP HF,2025-11-05,award,https://ted.europa.eu/en/notice/-/detail/730955-2025,https://ted.europa.eu/en/notice/-/detail/730955-2025,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,707105-2025,2025/58879,"Norway – CT scanners – Intention notice: Photontal CT, The University Hospital of North Norway Health Trust.",SYKEHUSINNKJØP HF,2025-10-27,voluntary_ex_ante,https://ted.europa.eu/en/notice/-/detail/707105-2025,https://ted.europa.eu/en/notice/-/detail/707105-2025,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,689253-2025,2025/40392,Norway – CT scanners – Contract award: CT for Akershus Universitetssykehus HF,SYKEHUSINNKJØP HF,2025-10-20,award,https://ted.europa.eu/en/notice/-/detail/689253-2025,https://ted.europa.eu/en/notice/-/detail/689253-2025,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,571098-2025,2023/17957,Norway – Pharmaceutical products – Prior information notice: 2607 Oncology,SYKEHUSINNKJØP HF,2025-09-02,pin-only,https://ted.europa.eu/en/notice/-/detail/571098-2025,https://ted.europa.eu/en/notice/-/detail/571098-2025,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,561310-2025,2025/39159,Norway – Magnetic resonance scanners – Contract award: MR for Akershus Universitetssykehus HF,SYKEHUSINNKJØP HF,2025-08-28,award,https://ted.europa.eu/en/notice/-/detail/561310-2025,https://ted.europa.eu/en/notice/-/detail/561310-2025,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,518726-2025,2025/40392,"Norway – CT scanners – SPECT/CT for Sørlandet Hospital, Kristiansand",SYKEHUSINNKJØP HF,2025-08-07,competition,https://ted.europa.eu/en/notice/-/detail/518726-2025,https://ted.europa.eu/en/notice/-/detail/518726-2025,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,435530-2025,2025/40909,Norway – Magnetic resonance scanners – ST250020 MR 1.5T to Sykehuset Telemark HF,SYKEHUSINNKJØP HF,2025-07-04,competition,https://ted.europa.eu/en/notice/-/detail/435530-2025,https://ted.europa.eu/en/notice/-/detail/435530-2025,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,421389-2025,2024/34003,"Norway – CT scanners – ID 9327 - CT for the emergency department, Hospital Telemark.",SYKEHUSINNKJØP HF,2025-06-30,competition,https://ted.europa.eu/en/notice/-/detail/421389-2025,https://ted.europa.eu/en/notice/-/detail/421389-2025,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,403436-2025,2025/37203,Norway – CT scanners – CT for Akershus University Hospital,SYKEHUSINNKJØP HF,2025-06-24,competition,https://ted.europa.eu/en/notice/-/detail/403436-2025,https://ted.europa.eu/en/notice/-/detail/403436-2025,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
