localFile,fileType,workbook,sheet,page,row,column,field,exactMatchedValue,matchedTerm,matchType,targetMolecule,surroundingContext,detectedHeaders,layoutClassification,evidenceSnippet,multiMoleculeWarning
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,xlsx,LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,1. Innhold,,,,sheet_inventory,rows=10;cols=2;dataRows=0,,,Axitinib,,,unknown layout,,
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,xlsx,LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,2. Forklaring til kravspes.,,,,sheet_inventory,rows=19;cols=2;dataRows=0,,,Axitinib,,,requirements table,,
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,xlsx,LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,3. Omfang,,,,sheet_inventory,rows=103;cols=5;dataRows=96,,,Axitinib,,ATC-kode | Nye ATC koder fra 1. februar 2022 | Virkestoff | Total maks AIP 1.jan. 2021-31.des. 2021,pack-bearing price schedule,,
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,xlsx,LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,4. Krav til prod.,,,,sheet_inventory,rows=23;cols=8;dataRows=0,,,Axitinib,,"4.0.8 | Når det gis tilbud, er leverandøren pliktig til å gi tilbud på alle pakninger som leverandøren markedsfører av samme handelsnavn og som er omsatt i 2021. Dette gjelder uavhengig av indikasjon. | S | Besvares i Prisskjema. Leverandør fyller inn selv når det ikke er forhåndsutfylt (ett skjema totalt) ",pack-bearing price schedule,,
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,xlsx,LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,Ark1,,,,sheet_inventory,rows=5;cols=4;dataRows=0,,,Axitinib,,,unknown layout,,
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,xlsx,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,Mal,,,,sheet_inventory,rows=26;cols=4;dataRows=0,,,Axitinib,,,instruction/template sheet,,
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,xlsx,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,Forside,,,,sheet_inventory,rows=44;cols=12;dataRows=0,,,Axitinib,,,unknown layout,,
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,xlsx,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,Veiledning,,,,sheet_inventory,rows=35;cols=3;dataRows=0,,,Axitinib,,,instruction/template sheet,,
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,xlsx,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,Prisskjema,,,,sheet_inventory,rows=993;cols=18;dataRows=196,,,Axitinib,,"VARENR | VARENAVN | LEGEMIDDELFORM | STYRKE | ENHET | LEVERANDØR | TILBUDT GIP med 2 desimaler | GTIN på ytteremballasje (Barcode secondary package). 8, 13 eller 14 siffer | GTIN ytteremballasje Ja/Nei/Innføres før avtalestart | DELLEVERANSE-NUMMER | ATC | VIRKESTOFF SYKEHUSINNKJØP | LEGEMIDDELFORM-GRUPPE | BRUKSPARAMETER | EMBALLASJETYPE SYKEHUSINNKJØP | Relevant for anskaffelsen | VARE GRUPPE | PAKNINGER 2021",pack-bearing price schedule,,
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,xlsx,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,Revisjoner,,,,sheet_inventory,rows=1;cols=4;dataRows=0,,,Axitinib,,,unknown layout,,
Lenalidomide__LIS_2234/LIS 2234 Vedlegg 02 Kravspesifikasjon.xlsx,xlsx,LIS 2234 Vedlegg 02 Kravspesifikasjon.xlsx,1. Innhold,,,,sheet_inventory,rows=10;cols=2;dataRows=0,,,Lenalidomide,,,unknown layout,,
Lenalidomide__LIS_2234/LIS 2234 Vedlegg 02 Kravspesifikasjon.xlsx,xlsx,LIS 2234 Vedlegg 02 Kravspesifikasjon.xlsx,2. Forklaring til kravspes.,,,,sheet_inventory,rows=19;cols=2;dataRows=0,,,Lenalidomide,,,requirements table,,
Lenalidomide__LIS_2234/LIS 2234 Vedlegg 02 Kravspesifikasjon.xlsx,xlsx,LIS 2234 Vedlegg 02 Kravspesifikasjon.xlsx,3. Omfang,,,,sheet_inventory,rows=16;cols=4;dataRows=1,,,Lenalidomide,,ATC-kode | Virkestoff | Omsetning i maks AIP [apr20-apr21],pack-bearing price schedule,,
Lenalidomide__LIS_2234/LIS 2234 Vedlegg 02 Kravspesifikasjon.xlsx,xlsx,LIS 2234 Vedlegg 02 Kravspesifikasjon.xlsx,4. Krav til prod.,,,,sheet_inventory,rows=23;cols=8;dataRows=1,,,Lenalidomide,,4.0.7 | Alle legemidler med gyldig markedsføringstillatelse i Norge skal være merket med elektronisk identifiserbare strekkoder på sekundærforpakning (ytteremballasje). Strekkoden må inneholde entydig identifikasjonsnøkkel etter GTIN-standard og være innmeldt i Farmaloggs VareWeb slik at bestilling kan foretas rettidig i henhold til rammeavtalen punkt 7.1. | S | Besvares i Prisskjema. Leverandør fyller inn selv når det ikke er forhåndsutfylt (ett skjema totalt) ,pack-bearing price schedule,,
