targetMolecule,localFile,sourceType,sheetOrPage,rowOrSection,exactMatchedValue,matchedTerm,matchType,atcCode,evidenceLevel,isPackBearing,parserSupported,warning
Axitinib,Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,requirements_specification,3. Omfang,25,L01EK01,L01EK01,atc,L01EK01,document_atc,true,false,
Everolimus,Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,requirements_specification,3. Omfang,64,L01EG02,L01EG02,atc,L01EG02,document_atc,true,false,
Everolimus,Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,requirements_specification,3. Omfang,64,Everolimus,everolimus,name,,document_name,true,false,
Everolimus,Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,price_schedule,Prisskjema,8,L01EG02,L01EG02,atc,L01EG02,document_atc,true,true,
Everolimus,Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,price_schedule,Prisskjema,112,L01EG02,L01EG02,atc,L01EG02,document_atc,true,true,
Everolimus,Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,price_schedule,Prisskjema,113,L01EG02,L01EG02,atc,L01EG02,document_atc,true,true,
Everolimus,Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,price_schedule,Prisskjema,114,L01EG02,L01EG02,atc,L01EG02,document_atc,true,true,
Everolimus,Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,price_schedule,Prisskjema,140,L01EG02,L01EG02,atc,L01EG02,document_atc,true,true,
Everolimus,Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,price_schedule,Prisskjema,141,L01EG02,L01EG02,atc,L01EG02,document_atc,true,true,
Everolimus,Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,price_schedule,Prisskjema,142,L01EG02,L01EG02,atc,L01EG02,document_atc,true,true,
