localFile,sheet,headerRow,layoutName,targetMolecule,detectedColumns,missingRequiredColumns,extraUsefulColumns,candidateRows,existingParserSupported,recommendedAction
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,1. Innhold,,unknown layout,Axitinib,,item_number|product_name|atc_code,,0,false,skip_non_pack_sheet
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,2. Forklaring til kravspes.,,unknown layout,Axitinib,,item_number|product_name|atc_code,,0,false,skip_non_pack_sheet
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,3. Omfang,,unknown layout,Axitinib,,item_number|product_name|atc_code,,0,false,skip_non_pack_sheet
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,4. Krav til prod.,14,unknown layout,Axitinib,item_number|product_name,atc_code,,7,false,skip_non_pack_sheet
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,Ark1,,unknown layout,Axitinib,,item_number|product_name|atc_code,,0,false,skip_non_pack_sheet
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,Mal,,unknown layout,Axitinib,,item_number|product_name|atc_code,,0,false,skip_non_pack_sheet
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,Forside,,unknown layout,Axitinib,,item_number|product_name|atc_code,,0,false,skip_non_pack_sheet
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,Veiledning,4,pack-bearing price schedule,Axitinib,item_number|product_name|strength|pack_size|atc_code|supplier|packs_year,,strength|pack_size|supplier|packs_year,17,false,skip_non_pack_sheet
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,Prisskjema,2,unknown layout,Axitinib,item_number|supplier|offered_gip,product_name|atc_code,supplier|offered_gip,196,true,use_existing_lis_parser
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,Revisjoner,,unknown layout,Axitinib,,item_number|product_name|atc_code,,0,false,skip_non_pack_sheet
Lenalidomide__LIS_2234/LIS 2234 Vedlegg 02 Kravspesifikasjon.xlsx,1. Innhold,,unknown layout,Lenalidomide,,item_number|product_name|atc_code,,0,false,skip_non_pack_sheet
