targetMolecule,queryUsed,matchedTerm,detectionMethod,noticeId,tenderRef,title,buyer,publicationDate,noticeType,status,lifecycleStage,estimatedValue,currency,noticeUrl,documentUrls,proposedDecision,decisionReason,language,possibleDuplicateOf
Everolimus,name:everolimus,Everolimus,name_in_notice,404973-2025,LIS,Norway – Pharmaceutical products – 2632a Everolimus and Mykofenolic Acid (enterotablett),SYKEHUSINNKJØP HF,2025-06-24,cn-standard,open,competition,128000000.0,NOK,https://ted.europa.eu/en/notice/-/detail/404973-2025,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,
Everolimus,name:everolimus,everolimus,name_in_notice,276486-2025,76746,"Norway – Medical equipments, pharmaceuticals and personal care products – 76746 LC-MS/MS analysis sheet",Oslo Universitetssykehus HF (hovedenhet),2025-04-29,can-standard,awarded,award,,NOK,https://ted.europa.eu/en/notice/-/detail/276486-2025,,rejected,Molecule appears only as illustrative example in non-pharma context,en,
Everolimus,name:everolimus,everolimus,name_in_notice,80590-2025,76746,"Norway – Medical equipments, pharmaceuticals and personal care products – 76746 LC-MS/MS analysis platform",Oslo Universitetssykehus HF (hovedenhet),2025-02-06,cn-standard,open,competition,,NOK,https://ted.europa.eu/en/notice/-/detail/80590-2025,,rejected,Molecule appears only as illustrative example in non-pharma context,en,276486-2025
Everolimus,name:everolimus,everolimus,name_in_notice,480286-2023,,76746 RH KLM FAR Analysis platform,Oslo Universitetssykehus HF (hovedenhet),2023-08-07,0,,prior_information,,NOK,https://ted.europa.eu/en/notice/-/detail/480286-2023,,rejected,Molecule appears only as illustrative example in non-pharma context,en,
Everolimus,atc:L04AH02,Everolimus,name_in_notice,404973-2025,LIS,Norway – Pharmaceutical products – 2632a Everolimus and Mykofenolic Acid (enterotablett),SYKEHUSINNKJØP HF,2025-06-24,cn-standard,open,competition,128000000.0,NOK,https://ted.europa.eu/en/notice/-/detail/404973-2025,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,
Everolimus,buyer+name:Sykehusinnkjøp HF,Everolimus,name_in_notice,404973-2025,LIS,Norway – Pharmaceutical products – 2632a Everolimus and Mykofenolic Acid (enterotablett),SYKEHUSINNKJØP HF,2025-06-24,cn-standard,open,competition,128000000.0,NOK,https://ted.europa.eu/en/notice/-/detail/404973-2025,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,
Everolimus,buyer+name:Sykehusinnkjøp,Everolimus,name_in_notice,404973-2025,LIS,Norway – Pharmaceutical products – 2632a Everolimus and Mykofenolic Acid (enterotablett),SYKEHUSINNKJØP HF,2025-06-24,cn-standard,open,competition,128000000.0,NOK,https://ted.europa.eu/en/notice/-/detail/404973-2025,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,
Lenalidomide,name:lenalidomide,Lenalidomide,name_in_notice,335380-2021,2021/118,LIS 2234 Lenalidomide,Sykehusinnkjøp HF,2021-07-02,7,,award,,NOK,https://ted.europa.eu/en/notice/-/detail/335380-2021,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,
Lenalidomide,name:lenalidomide,Lenalidomide,name_in_notice,335362-2021,LIS2234B,LIS 2234b Lenalidomide,Sykehusinnkjøp HF,2021-07-02,3,,competition,320000000.0,NOK,https://ted.europa.eu/en/notice/-/detail/335362-2021,https://www.mercell.com/m/file/GetFile.ashx?id=159475531&version=0,login_wall,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference; Mercell document URLs require login,en,
Lenalidomide,name:lenalidomide,Lenalidomide,name_in_notice,300984-2021,LIS2234,LIS 2234 Lenalidomide,Sykehusinnkjøp HF,2021-06-15,3,,competition,320000000.0,NOK,https://ted.europa.eu/en/notice/-/detail/300984-2021,https://www.mercell.com/m/file/GetFile.ashx?id=158259205&version=0;https://www.mercell.com/m/file/GetFile.ashx?id=158259201&version=0;https://www.mercell.com/m/file/GetFile.ashx?id=158259190&version=0,login_wall,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference; Mercell document URLs require login,en,
