productMolecule,noticeId,tenderRef,itemNumber,productName,strength,packSize,sourceAtc,dmpMatchedItem,dmpProductName,dmpStrength,dmpPack,dmpAtc,tenderDocumentMaxAip,dmpMaxAip,selectedMaxPrice,maxPriceSource,maxPriceEffectiveDate,joinOutcome,conflictReason
Axitinib,196990-2022,2021/1727,103854,Inlyta tab 1mg,1 mg,56.0,L01EK01,103854,Inlyta,1 mg,Blisterpakning 56 stk,L01EK01,,6573.91,6573.91,dmp_current_reference,2026-08-03,exact_validated,
Axitinib,196990-2022,2021/1727,39471,Inlyta tab 3mg,3 mg,56.0,L01EK01,039471,Inlyta,3 mg,Blisterpakning 56 stk,L01EK01,,21849.42,21849.42,dmp_current_reference,2026-08-03,exact_validated,
Axitinib,196990-2022,2021/1727,599010,Inlyta tab 5mg,5 mg,56.0,L01EK01,599010,Inlyta,5 mg,Blisterpakning 56 stk,L01EK01,,32845.79,32845.79,dmp_current_reference,2026-08-03,exact_validated,
Axitinib,196990-2022,2021/1727,147794,Inlyta tab 7mg,7 mg,56.0,L01EK01,147794,Inlyta,7 mg,Blisterpakning 56 stk,L01EK01,,46409.29,46409.29,dmp_current_reference,2026-08-03,exact_validated,
Lenalidomide,300984-2021,LIS 2234,64016,Revlimid kaps 20mg,20 mg,21.0,L04AX04,,,,,,,,,,,no_item_match,
Lenalidomide,300984-2021,LIS 2234,96488,Revlimid kaps  5mg,5 mg,21.0,L04AX04,,,,,,,,,,,no_item_match,
Lenalidomide,300984-2021,LIS 2234,96497,Revlimid kaps 10mg,10 mg,21.0,L04AX04,,,,,,,,,,,no_item_match,
Lenalidomide,300984-2021,LIS 2234,96506,Revlimid kaps 15mg,15 mg,21.0,L04AX04,,,,,,,,,,,no_item_match,
Lenalidomide,300984-2021,LIS 2234,96515,Revlimid kaps 25mg,25 mg,21.0,L04AX04,,,,,,,,,,,no_item_match,
Lenalidomide,300984-2021,LIS 2234,467375,"Revlimid kaps  7,5mg",7.5 mg,21.0,L04AX04,,,,,,,,,,,no_item_match,
Lenalidomide,300984-2021,LIS 2234,540958,"Revlimid kaps  2,5mg",2.5 mg,21.0,L04AX04,,,,,,,,,,,no_item_match,
Everolimus,404973-2025,2025/50837,14884,"Certican disperg tab 0,1mg",0.1 mg,60.0,L04AH02,014884,Certican,"0,1 mg",Blisterpakning 60 stk,L04AH02,492.07,492.07,492.07,tender_document,,exact_validated,
Everolimus,404973-2025,2025/50837,14917,"Certican disperg tab 0,25mg",0.25 mg,60.0,L04AH02,014917,Certican,"0,25 mg",Blisterpakning 60 stk,L04AH02,1017.61,1017.61,1017.61,tender_document,,exact_validated,
Everolimus,404973-2025,2025/50837,14847,"Certican tab 0,25mg",0.25 mg,60.0,L04AH02,014847,Certican,"0,25 mg",Blisterpakning 60 stk,L04AH02,1017.61,1017.61,1017.61,tender_document,,exact_validated,
Everolimus,404973-2025,2025/50837,14859,"Certican tab 0,5mg",0.5 mg,60.0,L04AH02,014859,Certican,"0,5 mg",Blisterpakning 60 stk,L04AH02,2028.9,2028.9,2028.9,tender_document,,exact_validated,
Everolimus,404973-2025,2025/50837,14853,"Certican tab 0,75mg",0.75 mg,60.0,L04AH02,014853,Certican,"0,75 mg",Blisterpakning 60 stk,L04AH02,3070.93,3070.93,3070.93,tender_document,,exact_validated,
Everolimus,404973-2025,2025/50837,14946,Certican tab 1mg,1 mg,60.0,L04AH02,014946,Certican,1 mg,Blisterpakning 60 stk,L04AH02,4057.8,4057.8,4057.8,tender_document,,exact_validated,
Anagrelide,244859-2024,2507gj-1,560023,"Anagrelide bluefish kaps 0,5mg",0.5 mg,100.0,L01XX35,560023,Anagrelide Bluefish,"0,5 mg",Flaske 100 stk,L01XX35,,4102.51,4102.51,dmp_current_reference,2026-08-03,exact_validated,
Anagrelide,244859-2024,2507gj-1,191597,"Anagrelide sandoz kaps 0,5mg",0.5 mg,100.0,L01XX35,,,,,,,,,,,no_item_match,
Anagrelide,244859-2024,2507gj-1,21999,"Xagrid kaps 0,5mg",0.5 mg,100.0,L01XX35,021999,Xagrid,"0,5 mg",Flaske 100 stk,L01XX35,,4102.51,4102.51,dmp_current_reference,2026-08-03,exact_validated,
Anagrelide,244859-2024,2507gj-1,39496,"Xagrid Kapsel, hard 0,5 mg",0.5 mg,0.0,L01XX35,039496,Xagrid,"0,5 mg",Flaske av plast 100 stk,L01XX35,,4102.51,4102.51,dmp_current_reference,2026-08-03,exact_validated,
Anagrelide,244859-2024,2507gj-1,110090,"Anagrelide AOP Kapsel, hard 0,5 mg",0.5 mg,100.0,L01XX35,,,,,,,,,,,no_item_match,
Anagrelide,244859-2024,2507gj-1,290239,"Anagrelide sandoz kaps 0,5mg",0.5 mg,100.0,L01XX35,,,,,,,,,,,no_item_match,
Paliperidone,682047-2022,2022/227,214209,"Xeplion Depotinjeksjonsvæske, suspensjon 25 mg/sprøyte",25 mg,,N05AX13,,,,,,,,,,,no_item_match,
