noticeId,itemNumber,field,rawValue,cleanedValue,action,reason,sourceDocument,sourceRow
196990-2022,103854,noticeType,3,Contract notice,map_notice_type,,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,159
196990-2022,103854,procedureType,1,Open procedure,map_procedure_type,,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,159
196990-2022,39471,noticeType,3,Contract notice,map_notice_type,,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,160
196990-2022,39471,procedureType,1,Open procedure,map_procedure_type,,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,160
196990-2022,599010,noticeType,3,Contract notice,map_notice_type,,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,161
196990-2022,599010,procedureType,1,Open procedure,map_procedure_type,,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,161
196990-2022,147794,noticeType,3,Contract notice,map_notice_type,,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,162
196990-2022,147794,procedureType,1,Open procedure,map_procedure_type,,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,162
300984-2021,64016,noticeType,3,Contract notice,map_notice_type,,LIS 2234 Vedlegg 03 Prisskjema.xlsx,4
300984-2021,64016,procedureType,1,Open procedure,map_procedure_type,,LIS 2234 Vedlegg 03 Prisskjema.xlsx,4
300984-2021,96488,noticeType,3,Contract notice,map_notice_type,,LIS 2234 Vedlegg 03 Prisskjema.xlsx,5
300984-2021,96488,procedureType,1,Open procedure,map_procedure_type,,LIS 2234 Vedlegg 03 Prisskjema.xlsx,5
300984-2021,96497,noticeType,3,Contract notice,map_notice_type,,LIS 2234 Vedlegg 03 Prisskjema.xlsx,6
300984-2021,96497,procedureType,1,Open procedure,map_procedure_type,,LIS 2234 Vedlegg 03 Prisskjema.xlsx,6
300984-2021,96506,noticeType,3,Contract notice,map_notice_type,,LIS 2234 Vedlegg 03 Prisskjema.xlsx,7
300984-2021,96506,procedureType,1,Open procedure,map_procedure_type,,LIS 2234 Vedlegg 03 Prisskjema.xlsx,7
300984-2021,96515,noticeType,3,Contract notice,map_notice_type,,LIS 2234 Vedlegg 03 Prisskjema.xlsx,8
300984-2021,96515,procedureType,1,Open procedure,map_procedure_type,,LIS 2234 Vedlegg 03 Prisskjema.xlsx,8
300984-2021,467375,noticeType,3,Contract notice,map_notice_type,,LIS 2234 Vedlegg 03 Prisskjema.xlsx,9
300984-2021,467375,procedureType,1,Open procedure,map_procedure_type,,LIS 2234 Vedlegg 03 Prisskjema.xlsx,9
300984-2021,540958,noticeType,3,Contract notice,map_notice_type,,LIS 2234 Vedlegg 03 Prisskjema.xlsx,10
300984-2021,540958,procedureType,1,Open procedure,map_procedure_type,,LIS 2234 Vedlegg 03 Prisskjema.xlsx,10
404973-2025,14884,noticeType,cn-standard,Competition notice,map_notice_type,,2632a Bilag 2 Prisskjema.xlsx,7
404973-2025,14884,procedureType,open,Open procedure,map_procedure_type,,2632a Bilag 2 Prisskjema.xlsx,7
404973-2025,14917,noticeType,cn-standard,Competition notice,map_notice_type,,2632a Bilag 2 Prisskjema.xlsx,8
404973-2025,14917,procedureType,open,Open procedure,map_procedure_type,,2632a Bilag 2 Prisskjema.xlsx,8
