noticeId,tenderRef,productMolecule,valueType,rawValue,numericValue,currency,valuePeriod,valueScope,sourceDocument,sourceLocation,isTargetSpecific,mappedField,mappingDecision,rejectionReason
196990-2022,2021/1727,Axitinib,umbrella_multi_molecule_value,3200000000.00,3200000000.0,NOK,total,LIS 2207 oncology multi-molecule procurement,196990-2022.xml,VAL_ESTIMATED_TOTAL,false,,rejected,NOK 3.2bn oncology umbrella; not Axitinib-specific
196990-2022,2021/1727,Axitinib,historical_max_aip_turnover,9583050.11,9583050.11,NOK,historical,Axitinib kravspesifikasjon omfang,LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,Kravspesifikasjon omfang / historical turnover,true,,rejected,Historical max-AIP turnover; not a formal notice contract estimate
300984-2021,LIS 2234,Lenalidomide,formal_notice_estimate,320000000.00,320000000.0,NOK,total,LIS 2234 dedicated Lenalidomide procurement,300984-2021.xml,VAL_ESTIMATED_TOTAL,true,estimatedValue,accepted,
300984-2021,LIS 2234,Lenalidomide,historical_max_aip_turnover,325240414.6099999,325240414.6099999,NOK,historical,Lenalidomide kravspesifikasjon omfang,LIS 2234 Vedlegg 02 Kravspesifikasjon.xlsx,Kravspesifikasjon omfang / historical turnover,true,,rejected,Historical max-AIP turnover; not a formal notice contract estimate
404973-2025,2025/50837,Everolimus,umbrella_multi_molecule_value,128000000.00,128000000.0,NOK,total,Everolimus and mycophenolic acid combined procurement,404973-2025.xml,cbc:EstimatedOverallContractAmount,false,,rejected,Multi-molecule procedure total; no Everolimus-specific lot value
244859-2024,2507gj-1,Anagrelide,formal_notice_estimate,10000000.00,10000000.0,NOK,total,2507gj-1 dedicated Anagrelide procurement,244859-2024.xml,cbc:EstimatedOverallContractAmount,true,estimatedValue,accepted,
682047-2022,2022/227,Paliperidone,umbrella_multi_molecule_value,14671946.00,14671946.0,NOK,total,Seven-medicine VEAT supplementary scope,682047-2022.xml,VAL_ESTIMATED_TOTAL,false,,rejected,"NOK 14,671,946 covers seven medicines; not Paliperidone-specific"
682047-2022,2022/227,Paliperidone,umbrella_multi_molecule_value,14671946.00,14671946.0,NOK,total,Seven-medicine VEAT supplementary scope,682047-2022.xml,VAL_TOTAL,false,,rejected,"NOK 14,671,946 covers seven medicines; not Paliperidone-specific"
682047-2022,2022/227,Paliperidone,umbrella_multi_molecule_value,14671946.00,14671946.0,NOK,total,Seven-medicine VEAT supplementary scope,682047-2022.xml,VAL_TOTAL,false,,rejected,"NOK 14,671,946 covers seven medicines; not Paliperidone-specific"
434619-2026,2601c,Paliperidone,confidential_or_unpublished,,,NOK,,2601c dedicated Paliperidone procurement,434619-2026.xml,EstimatedOverallContractAmount,true,,rejected,No published estimated contract value in cached TED XML
