noticeId,tenderRef,title,country,buyer,productMolecule,moleculeDetected,moleculeVariant,detectionMethod,atcCode,itemNumber,productName,strength,packSize,supplier,maxPrice,packsSoldLast12m,estimatedValue,awardedValue,awardedSupplier,currency,noticeType,status,publicationDate,contractStart,procedureType,sourceDocument,sourceUrl
196990-2022,2021/1727,LIS 2207 Oncology,NO,SYKEHUSINNKJØP HF,Axitinib,False,,atc_in_document,L01EK01,103854,Inlyta tab 1mg,1 mg,56.0,Pfizer Norge AS,6573.91,179.0,,,,NOK,3,,2022-04-13,2022-12-01,1,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,https://ted.europa.eu/en/notice/-/detail/196990-2022
196990-2022,2021/1727,LIS 2207 Oncology,NO,SYKEHUSINNKJØP HF,Axitinib,False,,atc_in_document,L01EK01,39471,Inlyta tab 3mg,3 mg,56.0,Pfizer Norge AS,21849.42,316.0,,,,NOK,3,,2022-04-13,2022-12-01,1,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,https://ted.europa.eu/en/notice/-/detail/196990-2022
196990-2022,2021/1727,LIS 2207 Oncology,NO,SYKEHUSINNKJØP HF,Axitinib,False,,atc_in_document,L01EK01,599010,Inlyta tab 5mg,5 mg,56.0,Pfizer Norge AS,32845.79,634.0,,,,NOK,3,,2022-04-13,2022-12-01,1,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,https://ted.europa.eu/en/notice/-/detail/196990-2022
196990-2022,2021/1727,LIS 2207 Oncology,NO,SYKEHUSINNKJØP HF,Axitinib,False,,atc_in_document,L01EK01,147794,Inlyta tab 7mg,7 mg,56.0,Pfizer Norge AS,46409.29,46.0,,,,NOK,3,,2022-04-13,2022-12-01,1,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,https://ted.europa.eu/en/notice/-/detail/196990-2022
300984-2021,LIS 2234,LIS 2234 Lenalidomide,NO,Sykehusinnkjøp HF,Lenalidomide,True,Lenalidomid,name_in_document,L04AX04,64016,Revlimid kaps 20mg,20 mg,21.0,Celgene AS,,330.0,,,,NOK,3,,2021-06-15,2022-03-01,1,LIS 2234 Vedlegg 03 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/300984-2021
300984-2021,LIS 2234,LIS 2234 Lenalidomide,NO,Sykehusinnkjøp HF,Lenalidomide,True,Lenalidomid,name_in_document,L04AX04,96488,Revlimid kaps  5mg,5 mg,21.0,Celgene AS,,485.0,,,,NOK,3,,2021-06-15,2022-03-01,1,LIS 2234 Vedlegg 03 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/300984-2021
300984-2021,LIS 2234,LIS 2234 Lenalidomide,NO,Sykehusinnkjøp HF,Lenalidomide,True,Lenalidomid,name_in_document,L04AX04,96497,Revlimid kaps 10mg,10 mg,21.0,Celgene AS,,2106.0,,,,NOK,3,,2021-06-15,2022-03-01,1,LIS 2234 Vedlegg 03 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/300984-2021
300984-2021,LIS 2234,LIS 2234 Lenalidomide,NO,Sykehusinnkjøp HF,Lenalidomide,True,Lenalidomid,name_in_document,L04AX04,96506,Revlimid kaps 15mg,15 mg,21.0,Celgene AS,,1881.0,,,,NOK,3,,2021-06-15,2022-03-01,1,LIS 2234 Vedlegg 03 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/300984-2021
300984-2021,LIS 2234,LIS 2234 Lenalidomide,NO,Sykehusinnkjøp HF,Lenalidomide,True,Lenalidomid,name_in_document,L04AX04,96515,Revlimid kaps 25mg,25 mg,21.0,Celgene AS,,2069.0,,,,NOK,3,,2021-06-15,2022-03-01,1,LIS 2234 Vedlegg 03 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/300984-2021
300984-2021,LIS 2234,LIS 2234 Lenalidomide,NO,Sykehusinnkjøp HF,Lenalidomide,True,Lenalidomid,name_in_document,L04AX04,467375,"Revlimid kaps  7,5mg",7.5 mg,21.0,Celgene AS,,261.0,,,,NOK,3,,2021-06-15,2022-03-01,1,LIS 2234 Vedlegg 03 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/300984-2021
