localFile,sheet,sourceRow,targetMolecule,itemNumber,productName,rawStrength,rawPackDescription,dosageForm,gtin,rawSupplier,rawAtc,rawMolecule,volumeRaw,volumePeriodLabel,volumePeriodStart,volumePeriodEnd,priceType,maxPriceRaw,offeredGip,parserWarnings,matchedTerm,evidenceLevel,detectionMethod,volumeIsTwelveMonths,volumeInterpretationWarning,volumeEvidence,maxPriceSource,maxPriceEffectiveDate,tenderDocumentMaxAip,dmpMaxAip,priceDifference,priceDifferencePct,dmpJoinOutcome,dmpTemporalWarning,supplierExportDecision,supplierRejectionReason,packSizeValidityDecision,packSizeExportWarning,rawNoticeType,rawProcedureType
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,Prisskjema,159,Axitinib,103854,Inlyta tab 1mg,1mg,56 ENPAC,,,Pfizer Norge AS,L01EK01,,179,PAKNINGER 2021,2021-01-01,2021-12-31,,,,,L01EK01,document_atc,atc_in_document,true,Calendar-year proxy PAKNINGER 2021 used as documented 12-month historical volume.,Prisskjema header PAKNINGER 2021 (full calendar year).,dmp_current_reference,2026-08-03,,6573.91,,,exact_validated,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.,exported,,valid,,3,1
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,Prisskjema,160,Axitinib,39471,Inlyta tab 3mg,3mg,56 ENPAC,,,Pfizer Norge AS,L01EK01,,316,PAKNINGER 2021,2021-01-01,2021-12-31,,,,,L01EK01,document_atc,atc_in_document,true,Calendar-year proxy PAKNINGER 2021 used as documented 12-month historical volume.,Prisskjema header PAKNINGER 2021 (full calendar year).,dmp_current_reference,2026-08-03,,21849.42,,,exact_validated,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.,exported,,valid,,3,1
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,Prisskjema,161,Axitinib,599010,Inlyta tab 5mg,5mg,56 ENPAC,,,Pfizer Norge AS,L01EK01,,634,PAKNINGER 2021,2021-01-01,2021-12-31,,,,,L01EK01,document_atc,atc_in_document,true,Calendar-year proxy PAKNINGER 2021 used as documented 12-month historical volume.,Prisskjema header PAKNINGER 2021 (full calendar year).,dmp_current_reference,2026-08-03,,32845.79,,,exact_validated,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.,exported,,valid,,3,1
Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,Prisskjema,162,Axitinib,147794,Inlyta tab 7mg,7mg,56 ENPAC,,,Pfizer Norge AS,L01EK01,,46,PAKNINGER 2021,2021-01-01,2021-12-31,,,,,L01EK01,document_atc,atc_in_document,true,Calendar-year proxy PAKNINGER 2021 used as documented 12-month historical volume.,Prisskjema header PAKNINGER 2021 (full calendar year).,dmp_current_reference,2026-08-03,,46409.29,,,exact_validated,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.,exported,,valid,,3,1
Lenalidomide__LIS_2234/LIS 2234 Vedlegg 03 Prisskjema.xlsx,Prisskjema,4,Lenalidomide,64016,Revlimid kaps 20mg,20mg,21 ENPAC,,,Celgene AS,L04AX04,Lenalidomid,330,PAKNINGER 2020,2020-01-01,2020-12-31,,,,,lenalidomid,document_name_and_atc,name_in_document,true,Calendar-year proxy PAKNINGER 2020 used as documented 12-month historical volume.,Prisskjema header PAKNINGER 2020 (full calendar year).,,,,,,,no_item_match,,exported,,valid,,3,1
Lenalidomide__LIS_2234/LIS 2234 Vedlegg 03 Prisskjema.xlsx,Prisskjema,5,Lenalidomide,96488,Revlimid kaps  5mg,5mg,21 ENPAC,,,Celgene AS,L04AX04,Lenalidomid,485,PAKNINGER 2020,2020-01-01,2020-12-31,,,,,lenalidomid,document_name_and_atc,name_in_document,true,Calendar-year proxy PAKNINGER 2020 used as documented 12-month historical volume.,Prisskjema header PAKNINGER 2020 (full calendar year).,,,,,,,no_item_match,,exported,,valid,,3,1
Lenalidomide__LIS_2234/LIS 2234 Vedlegg 03 Prisskjema.xlsx,Prisskjema,6,Lenalidomide,96497,Revlimid kaps 10mg,10mg,21 ENPAC,,,Celgene AS,L04AX04,Lenalidomid,2106,PAKNINGER 2020,2020-01-01,2020-12-31,,,,,lenalidomid,document_name_and_atc,name_in_document,true,Calendar-year proxy PAKNINGER 2020 used as documented 12-month historical volume.,Prisskjema header PAKNINGER 2020 (full calendar year).,,,,,,,no_item_match,,exported,,valid,,3,1
Lenalidomide__LIS_2234/LIS 2234 Vedlegg 03 Prisskjema.xlsx,Prisskjema,7,Lenalidomide,96506,Revlimid kaps 15mg,15mg,21 ENPAC,,,Celgene AS,L04AX04,Lenalidomid,1881,PAKNINGER 2020,2020-01-01,2020-12-31,,,,,lenalidomid,document_name_and_atc,name_in_document,true,Calendar-year proxy PAKNINGER 2020 used as documented 12-month historical volume.,Prisskjema header PAKNINGER 2020 (full calendar year).,,,,,,,no_item_match,,exported,,valid,,3,1
Lenalidomide__LIS_2234/LIS 2234 Vedlegg 03 Prisskjema.xlsx,Prisskjema,8,Lenalidomide,96515,Revlimid kaps 25mg,25mg,21 ENPAC,,,Celgene AS,L04AX04,Lenalidomid,2069,PAKNINGER 2020,2020-01-01,2020-12-31,,,,,lenalidomid,document_name_and_atc,name_in_document,true,Calendar-year proxy PAKNINGER 2020 used as documented 12-month historical volume.,Prisskjema header PAKNINGER 2020 (full calendar year).,,,,,,,no_item_match,,exported,,valid,,3,1
Lenalidomide__LIS_2234/LIS 2234 Vedlegg 03 Prisskjema.xlsx,Prisskjema,9,Lenalidomide,467375,"Revlimid kaps  7,5mg","7,5mg",21 ENPAC,,,Celgene AS,L04AX04,Lenalidomid,261,PAKNINGER 2020,2020-01-01,2020-12-31,,,,,lenalidomid,document_name_and_atc,name_in_document,true,Calendar-year proxy PAKNINGER 2020 used as documented 12-month historical volume.,Prisskjema header PAKNINGER 2020 (full calendar year).,,,,,,,no_item_match,,exported,,valid,,3,1
