tenderRef,noticeId,filename,url,source,notes,targetMolecule,localFile,sourceType,accessStatus,noticeUrl,landingPage,linkageNeedsReview,procurementFamily,sha256,publisher,effectiveDate
LIS2234,300984-2021,LIS 2234 Vedlegg 03 Prisskjema.xlsx,https://www.mercell.com/m/file/GetFile.ashx?id=158259205&version=0,Mercell,Local copy in data/seeds/,,,,,,,,,,,
LIS2234,300984-2021,LIS 2234 Vedlegg 02 Kravspesifikasjon.xlsx,https://www.mercell.com/m/file/GetFile.ashx?id=158259201&version=0,Mercell,Historical turnover sheet 3. Omfang,,,,,,,,,,,
LIS2234,300984-2021,LIS 2234 Lenalidomid Konkurransebestemmelser virkestoffkonkurranse.pdf,https://www.mercell.com/m/file/GetFile.ashx?id=158259190&version=0,Mercell,Competition notice PDF,,,,,,,,,,,
LIS2234B,335362-2021,LIS 2234b Vedlegg 03 Prisskjema.xlsx,https://www.mercell.com/m/file/GetFile.ashx?id=159475531&version=0,Mercell,Revised competition; local file not yet provided,,,,,,,,,,,
LIS,244859-2024,,,TED,Anagrelide cn-standard 2024-04-24,,,,,,,,,,,
LIS,404973-2025,,,TED,Everolimus cn-standard 2025-06-24,,,,,,,,,,,
LIS,434619-2026,,,TED,Paliperidone cn-standard 2026-06-25,,,,,,,,,,,
LIS,682047-2022,,,TED,Paliperidone veat 2022-12-08,,,,,,,,,,,
2021/1727,196990-2022,LIS 2207 - Konkurransebestemmelser åpen anbudskonkurranse.pdf,,local_seed,,Axitinib,Axitinib__LIS_2207_Oncology/LIS 2207 - Konkurransebestemmelser åpen anbudskonkurranse.pdf,competition_terms,downloaded_manually,https://ted.europa.eu/en/notice/-/detail/196990-2022,https://www.mercell.com/nb-no/anbud/176511702/lis-2207-onkologi-anbud.aspx,false,LIS 2207,94db2aaecd1750891dfd775ccbe887fdd9c9d61878430ba097c3bfa73df94aed,,
2021/1727,196990-2022,LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,,local_seed,,Axitinib,Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 02 Kravspesifikasjon.xlsx,requirements_specification,downloaded_manually,https://ted.europa.eu/en/notice/-/detail/196990-2022,https://www.mercell.com/nb-no/anbud/176511702/lis-2207-onkologi-anbud.aspx,false,LIS 2207,1ca065592e59eef38ddf1cec4ab1f97a490070161feffd708ca6a8bcc064d0c1,,
2021/1727,196990-2022,LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,,local_seed,,Axitinib,Axitinib__LIS_2207_Oncology/LIS 2207 - Vedlegg 03 Prisskjema v 2.xlsx,price_schedule,downloaded_manually,https://ted.europa.eu/en/notice/-/detail/196990-2022,https://www.mercell.com/nb-no/anbud/176511702/lis-2207-onkologi-anbud.aspx,false,LIS 2207,486f9e7680e35d12bda807e3e606456f986ae3eb2ea5bc0dad767f59251cb045,,
LIS 2234,300984-2021,LIS 2234 Vedlegg 02 Kravspesifikasjon.xlsx,,local_seed,,Lenalidomide,Lenalidomide__LIS_2234/LIS 2234 Vedlegg 02 Kravspesifikasjon.xlsx,requirements_specification,supplied_seed,https://ted.europa.eu/en/notice/-/detail/300984-2021,,false,LIS 2234,d2644606414843eaf0731f6b0a05c6812d9b97d22ebdd12e3ea1933a69da5749,,
LIS 2234,300984-2021,LIS 2234 Vedlegg 03 Prisskjema.xlsx,,local_seed,,Lenalidomide,Lenalidomide__LIS_2234/LIS 2234 Vedlegg 03 Prisskjema.xlsx,price_schedule,supplied_seed,https://ted.europa.eu/en/notice/-/detail/300984-2021,,false,LIS 2234,8ae5601e07748f775695a675aa696d3d4e6e256d1f55ed99e0e5ce4e2d09d789,,
2025/50837,404973-2025,2632a Bilag 2 Prisskjema.xlsx,,local_seed,,Everolimus,Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,price_schedule,downloaded_manually,https://ted.europa.eu/en/notice/-/detail/404973-2025,https://www.mercell.com/nb-no/anbud/258634247/2632a-everolimus-og-mykofenolsyre-enterotablett-anbud.aspx,false,2632a,1783360633cdfae2c4bb64e02fc7158daa09962fcbe680e47c7304af49af55ba,,
2025/50837,404973-2025,2632a Bilag 3 Kravspesifikasjon.xlsx,,local_seed,,Everolimus,Everolimus__2632a/2632a Bilag 3 Kravspesifikasjon.xlsx,requirements_specification,downloaded_manually,https://ted.europa.eu/en/notice/-/detail/404973-2025,https://www.mercell.com/nb-no/anbud/258634247/2632a-everolimus-og-mykofenolsyre-enterotablett-anbud.aspx,false,2632a,e0c93b418dc8c262186b52eca78bb985d51d34a34626924b63ce8487519b5e09,,
2025/50837,404973-2025,2632a Konkurransebestemmelser.pdf,,local_seed,,Everolimus,Everolimus__2632a/2632a Konkurransebestemmelser.pdf,competition_terms,downloaded_manually,https://ted.europa.eu/en/notice/-/detail/404973-2025,https://www.mercell.com/nb-no/anbud/258634247/2632a-everolimus-og-mykofenolsyre-enterotablett-anbud.aspx,false,2632a,ed5ebfbe6fb530d07f27963b7f339318e8d20ff077c3fafb2c854b2e65d77cdc,,
2507gj-1,244859-2024,2507gj-1 Bilag 2 Prisskjema.xlsx,,local_seed,TED internal ref 2024/206; procurement family 2507gj-1 confirmed in notice title,Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,downloaded_manually,https://ted.europa.eu/en/notice/-/detail/244859-2024,https://www.mercell.com/nb-no/anbud/227565253/2507gj-1-anagrelid-anbud.aspx,false,2507gj-1,dc2beaddcdd15687aa3fa60e282af705e3cd7671e3a4bd28930031a23b4ad6aa,,
2507gj-1,244859-2024,2507gj-1 Bilag 3 Kravspesifikasjon Anagrelid.xlsx,,local_seed,TED internal ref 2024/206; procurement family 2507gj-1 confirmed in notice title,Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 3 Kravspesifikasjon Anagrelid.xlsx,requirements_specification,downloaded_manually,https://ted.europa.eu/en/notice/-/detail/244859-2024,https://www.mercell.com/nb-no/anbud/227565253/2507gj-1-anagrelid-anbud.aspx,false,2507gj-1,b14750773f3f791d19342d520fe4d8af6bf1b901ac410c382f5ee89807dccf79,,
2507gj-1,244859-2024,2507gj-1 Konkurransebestemmelser Anagrelid.pdf,,local_seed,TED internal ref 2024/206; procurement family 2507gj-1 confirmed in notice title,Anagrelide,Anagrelide__2507gj-1/2507gj-1 Konkurransebestemmelser Anagrelid.pdf,competition_terms,downloaded_manually,https://ted.europa.eu/en/notice/-/detail/244859-2024,https://www.mercell.com/nb-no/anbud/227565253/2507gj-1-anagrelid-anbud.aspx,false,2507gj-1,8fe7326a0a82857c01f7b6cc99a5c2d8e916fa0f08038efd0fa0684acc441c68,,
2507gj-1,244859-2024,2507gj-1 Rammeavtale Anagrelid.pdf,,local_seed,TED internal ref 2024/206; procurement family 2507gj-1 confirmed in notice title,Anagrelide,Anagrelide__2507gj-1/2507gj-1 Rammeavtale Anagrelid.pdf,framework_agreement,downloaded_manually,https://ted.europa.eu/en/notice/-/detail/244859-2024,https://www.mercell.com/nb-no/anbud/227565253/2507gj-1-anagrelid-anbud.aspx,false,2507gj-1,1907694d0450f2d132e700430f4fb7a700c29bedfefed6421f3d931653936e4a,,
2022/227,682047-2022,2301d Konkurransebestemmelser.pdf,,local_seed,,Paliperidone,Paliperidone__LIS_2301d/2301d Konkurransebestemmelser.pdf,competition_terms,downloaded_manually,https://ted.europa.eu/en/notice/-/detail/682047-2022,https://www.mercell.com/nb-no/anbud/191826142/intensjonskunngjoering--tilleggsavtaler-til-lis-2301d-ureg-atc-koder-j05af01-n05ax13-n05cd08-p01cx04-s01ax18-s01ee09-og-v03ab13-anbud.aspx,false,LIS 2301d,890c4da67ec832fb5421fd0f15b99196ef68be10cb87a3ea0e98f180bc0b60f4,,
2022/227,682047-2022,2301d Vedlegg 02 Kravspesifikasjon versj3.xlsx,,local_seed,,Paliperidone,Paliperidone__LIS_2301d/2301d Vedlegg 02 Kravspesifikasjon versj3.xlsx,requirements_specification,downloaded_manually,https://ted.europa.eu/en/notice/-/detail/682047-2022,https://www.mercell.com/nb-no/anbud/191826142/intensjonskunngjoering--tilleggsavtaler-til-lis-2301d-ureg-atc-koder-j05af01-n05ax13-n05cd08-p01cx04-s01ax18-s01ee09-og-v03ab13-anbud.aspx,false,LIS 2301d,573e210d8078187463bfc3163b7ec0c5ab078b0097f35e67a2ce570bd619d88b,,
2022/227,682047-2022,2301d Vedlegg 03 Prisskjema legem versj1.xlsx,,local_seed,,Paliperidone,Paliperidone__LIS_2301d/2301d Vedlegg 03 Prisskjema legem versj1.xlsx,price_schedule,downloaded_manually,https://ted.europa.eu/en/notice/-/detail/682047-2022,https://www.mercell.com/nb-no/anbud/191826142/intensjonskunngjoering--tilleggsavtaler-til-lis-2301d-ureg-atc-koder-j05af01-n05ax13-n05cd08-p01cx04-s01ax18-s01ee09-og-v03ab13-anbud.aspx,false,LIS 2301d,9e14729d4fdd5488a1f8dd5b9bd848cecea64b1c853309fef91db030f2fc7326,,
