recordType,molecule,noticeId,itemNumber,productName,scenarioName,discountPct,referenceGrossValue,scenarioUnitPrice,scenarioGrossValue,priceSource,maxPriceEffectiveDate,warning
molecule_summary,Anagrelide,,,,reference_at_max_aip,0,0.0,,,mixed,2026-08-03,
molecule_summary,Anagrelide,,,,discount_5pct,5,,,,mixed,2026-08-03,
molecule_summary,Anagrelide,,,,discount_10pct,10,,,,mixed,2026-08-03,
molecule_summary,Anagrelide,,,,discount_20pct,20,,,,mixed,2026-08-03,
molecule_summary,Anagrelide,,,,discount_30pct,30,,,,mixed,2026-08-03,
molecule_summary,Anagrelide,,,,discount_40pct,40,,,,mixed,2026-08-03,
molecule_summary,Axitinib,,,,reference_at_max_aip,0,31040204.81,,31040204.81,mixed,2026-08-03,Mixed volume periods: calendar-year proxy vs explicit last-12-months where documented.
molecule_summary,Axitinib,,,,discount_5pct,5,,,29488194.569499996,mixed,2026-08-03,Mixed volume periods: calendar-year proxy vs explicit last-12-months where documented.
molecule_summary,Axitinib,,,,discount_10pct,10,,,27936184.329,mixed,2026-08-03,Mixed volume periods: calendar-year proxy vs explicit last-12-months where documented.
molecule_summary,Axitinib,,,,discount_20pct,20,,,24832163.848,mixed,2026-08-03,Mixed volume periods: calendar-year proxy vs explicit last-12-months where documented.
molecule_summary,Axitinib,,,,discount_30pct,30,,,21728143.367,mixed,2026-08-03,Mixed volume periods: calendar-year proxy vs explicit last-12-months where documented.
molecule_summary,Axitinib,,,,discount_40pct,40,,,18624122.886,mixed,2026-08-03,Mixed volume periods: calendar-year proxy vs explicit last-12-months where documented.
pack_row,Axitinib,196990-2022,103854,Inlyta tab 1mg,reference_at_max_aip,0,1176729.89,6573.91,1176729.89,dmp_current_reference,2026-08-03,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.
pack_row,Axitinib,196990-2022,103854,Inlyta tab 1mg,discount_5pct,5,,6245.21,1117893.3954999999,dmp_current_reference,2026-08-03,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.
pack_row,Axitinib,196990-2022,103854,Inlyta tab 1mg,discount_10pct,10,,5916.52,1059056.9009999998,dmp_current_reference,2026-08-03,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.
pack_row,Axitinib,196990-2022,103854,Inlyta tab 1mg,discount_20pct,20,,5259.13,941383.912,dmp_current_reference,2026-08-03,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.
pack_row,Axitinib,196990-2022,103854,Inlyta tab 1mg,discount_30pct,30,,4601.74,823710.9229999998,dmp_current_reference,2026-08-03,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.
pack_row,Axitinib,196990-2022,103854,Inlyta tab 1mg,discount_40pct,40,,3944.35,706037.9339999999,dmp_current_reference,2026-08-03,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.
pack_row,Axitinib,196990-2022,39471,Inlyta tab 3mg,reference_at_max_aip,0,6904416.72,21849.42,6904416.72,dmp_current_reference,2026-08-03,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.
pack_row,Axitinib,196990-2022,39471,Inlyta tab 3mg,discount_5pct,5,,20756.95,6559195.884,dmp_current_reference,2026-08-03,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.
pack_row,Axitinib,196990-2022,39471,Inlyta tab 3mg,discount_10pct,10,,19664.48,6213975.0479999995,dmp_current_reference,2026-08-03,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.
pack_row,Axitinib,196990-2022,39471,Inlyta tab 3mg,discount_20pct,20,,17479.54,5523533.376,dmp_current_reference,2026-08-03,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.
pack_row,Axitinib,196990-2022,39471,Inlyta tab 3mg,discount_30pct,30,,15294.59,4833091.704,dmp_current_reference,2026-08-03,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.
pack_row,Axitinib,196990-2022,39471,Inlyta tab 3mg,discount_40pct,40,,13109.65,4142650.0319999997,dmp_current_reference,2026-08-03,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.
pack_row,Axitinib,196990-2022,599010,Inlyta tab 5mg,reference_at_max_aip,0,20824230.86,32845.79,20824230.86,dmp_current_reference,2026-08-03,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.
pack_row,Axitinib,196990-2022,599010,Inlyta tab 5mg,discount_5pct,5,,31203.5,19783019.316999998,dmp_current_reference,2026-08-03,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.
pack_row,Axitinib,196990-2022,599010,Inlyta tab 5mg,discount_10pct,10,,29561.21,18741807.774,dmp_current_reference,2026-08-03,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.
